id,entry_type,title,author,year,journal,booktitle,publisher,doi,url,pdf,abstract
OrduzB:2026,article,{Architectural Foundations for Quantum-Accelerated Retrieval in Large-Scale Language Models},"Rastogi, Shubhangi and Orduz, Javier",2026,TBD,,,,,,
OrduzA:2026,article,{Regularized multivariate modeling: An institutional benchmarking framework},"Montelongo, Luz~Maria. and Rastogi, Shubhangi and Orduz, Javier",2026,TBD,,,,,,
10.1007/978-3-031-94956-2_16,inproceedings,Mathematical Foundations for Modern Cryptography in the Quantum Era,"Orduz, Javier",2025,,Computational Science and Computational Intelligence,Springer Nature Switzerland,10.1007/978-3-031-94956-2_16,,,"This paper shows the most relevant concepts for cybersecurity and explores their counterpart in the quantum context. We describe the most relevant protocols for classical and quantum cryptography. Additionally, we expect to work on this topic and include ideas from quantum computing, machine learning, and deep learning to provide a first outline to the next generation of scientists, particularly in post-quantum cryptography era. This project is in progress, and we expect to cover more concepts to contribute to the next generation of ciphers."
OrduzA:2023,inproceedings,Quantum Machine Learning for Heart Disease Detection: A Case Study,"Tisha, Sadia Nasrin and Rahman, Mushfika Sharmin and Orduz, Javier",2025,,Computational Science and Computational Intelligence,Springer Nature Switzerland,,,,
make6020044,article,{Quantum-Enhanced Representation Learning: A Quanvolutional Autoencoder Approach against DDoS Threats},"Rivas, Pablo and Orduz, Javier and Jui, Tonni Das and DeCusatis, Casimer and Khanal, Bikram",2024,Machine Learning and Knowledge Extraction,,,10.3390/make6020044,https://www.mdpi.com/2504-4990/6/2/44,,
OrduzB:2023,inproceedings,{Quantune: An Automatic Music Generation Using Quantum Computing},"{Rahaman, Md Shahidur, and Islam, Agm, and Orduz, Javier.}",2024,,{LatinX in AI (LXAI) Research at ICML 2024},,,{https://openreview.net/forum?id=0QaxgMx4bR},,
RIVAS2023379,incollection,Chapter 15 - AI ethics for earth sciences,Pablo Rivas and Christopher Thompson and Brenda Tafur and Bikram Khanal and Olawale Ayoade and Tonni Das Jui and Korn Sooksatra and Javier Orduz and Gissella Bejarano,2023,,Artificial Intelligence in Earth Science,Elsevier,https://doi.org/10.1016/B978-0-323-91737-7.00007-4,https://www.sciencedirect.com/science/article/pii/B9780323917377000074,,
AYOADE2023337,incollection,Chapter 13 - Satellite image classification using quantum machine learning,Olawale Ayoade and Pablo Rivas and Javier Orduz and Nurul Rafi,2023,,Artificial Intelligence in Earth Science,Elsevier,https://doi.org/10.1016/B978-0-323-91737-7.00013-X,https://www.sciencedirect.com/science/article/pii/B978032391737700013X,,
OrduzB:2022,article,{Supercomputing leverages quantum machine learning and Grover’s algorithm},"{Khanal, B., Orduz, J., Rivas, P. and Baker, E.}",2022,{J Supercomput},,,,{https://doi.org/10.1007/s11227-022-04923-4},,
OrduzA:2022,misc,{An introduction to quantum natural language processing and a study case},"{Orduz, J. Rastogi, S. and and Baker, E.}",{2022},,,,,{https://research.latinxinai.org/papers/icml/2022/pdf/poster_1.pdf},,
data7030028,article,Artificial Intelligence Computing at the Quantum Level,"Ayoade, Olawale and Rivas, Pablo and Orduz, Javier",2022,Data,,,10.3390/data7030028,https://www.mdpi.com/2306-5729/7/3/28,,
SUN2022105034,article,A review of Earth Artificial Intelligence,Ziheng Sun and Laura Sandoval and Robert Crystal-Ornelas and S. Mostafa Mousavi and Jinbo Wang and Cindy Lin and Nicoleta Cristea and Daniel Tong and Wendy Hawley Carande and Xiaogang Ma and Yuhan Rao and James A. Bednar and Amanda Tan and Jianwu Wang and Sanjay Purushotham and Thomas E. Gill and Julien Chastang and Daniel Howard and Benjamin Holt and Chandana Gangodagamage and Peisheng Zhao and Pablo Rivas and Zachary Chester and Javier Orduz and Aji John,2022,Computers \& Geosciences,,,https://doi.org/10.1016/j.cageo.2022.105034,https://www.sciencedirect.com/science/article/pii/S0098300422000036,,
jui2021performance,inproceedings,Performance Analysis of Quantum Machine Learning Classifiers,"Jui, Tonni and Ayoade, Olawale and Rivas, Pablo and Orduz, Javier",2021,,NeurIPS 2021 Workshop LatinX in AI,,,,,
orduzcsciD:2021,inproceedings,Hybrid Quantum Variational Autoencoders for Representation Learning,"Rivas, Pablo and Zhao, Liang and Orduz, Javier",2021,,2021 International Conference on Computational Science and Computational Intelligence (CSCI),,10.1109/CSCI54926.2021.00085,,,
orduzcsciC:2021,inproceedings,Quantum Machine Learning: A Case Study of Grover’s Algorithm,"Khanal, Bikram and Rivas, Pablo and Orduz, Javier and Zhakubayev, Alibek",2021,,2021 International Conference on Computational Science and Computational Intelligence (CSCI),,10.1109/CSCI54926.2021.00088,,,
orduzcsciB:2021,inproceedings,Human Activity Classification Using Basic Machine Learning Models,"Khanal, Bikram and Rivas, Pablo and Orduz, Javier",2021,,2021 International Conference on Computational Science and Computational Intelligence (CSCI),,10.1109/CSCI54926.2021.00093,,,
orduzcsciA:2021,inproceedings,Evaluating Accuracy and Adversarial Robustness of Quanvolutional Neural Networks,"Sooksatra, Korn and Rivas, Pablo and Orduz, Javier",2021,,2021 International Conference on Computational Science and Computational Intelligence (CSCI),,10.1109/CSCI54926.2021.00097,,,
orduzCSC:2021,inproceedings,{Quantum Machine Learning Foundations and Applications: A Succinct Literature Review},"{Orduz, J. and Rivas, P. and Baker, E.}",2021,,{International Conference on Scientific Computing},{Transactions on Computational Science and Computational Intelligence},,,,
orduzICAI:2021,inproceedings,{Quantum Circuits for Quantum Convolutions: A Quantum Convolutional Autoencoder},"{Orduz, J. and Rivas, P. and Baker, E.}",{2021},,{International Conference on Scientific Computing},{Transactions on Computational Science and Computational Intelligence},,,,
orduzTE:2021,inproceedings,{Quantum Machine Learning concepts for Physicists},"{Orduz, J. and Iyer, V}",2021,{Tecnología Educativa de CONAIC},,,,,,
orduz2021conceptos,article,{Conceptos de aprendizaje autom{\'a}tico cu{\'a}ntico para f{\'i}sicos: Quantum Machine Learning concepts for Physicists},"{Orduz-Ducuara, JA}",2021,{Tecnolog{\'i}a Educativa Revista CONAIC},,,https://doi.org/10.32671/terc.v8i2.212,,,
OrduzA:2020,misc,{Quantum Machine Learning concepts and applications},"{Orduz, J. and Iyer, V}",{2020},,,,,,,
Orduz:2017gpd,article,{Higgs decay mediated by top-quark with flavor-changing neutral scalar interactions},"{Orduz-Ducuara, J. A.}",2017,{J. Phys. Conf. Ser.},,,10.1088/1742-6596/912/1/012032,,,
Gaitan:2017cfa,article,{Probing flavor parameters in the scalar sector and new bounds for the fermion sector},"{Gaitan, R. and Montes de Oca, J. H. and Orduz-Ducuara, J. A.}",2017,{PTEP},,,10.1093/ptep/ptx084,,,
Orduz-Ducuara:2016nje,article,{Exclusions on $Z'$ mass and its non-universal couplings in LFV decays},"{Orduz-Ducuara, J. A.}",2016,,,,,,,
Gaitan:2016rlq,article,{Brief description of the flavor-changing neutral scalar interactions at two-loop level},"{Gaitan, R. and Orduz-Ducuara, J. A.}",2016,{J. Phys. Conf. Ser.},,,10.1088/1742-6596/761/1/012011,,,
orduz8tecnicas,article,{Tecnicas en informatica educativa (TIE): LaTeX y Python (herramientas para la ense{\~n}anza de las ciencias)},"{Orduz-Ducuara, Javier A}",2016,{Revista Mexicana de Bachillerato a Distancia},,,,,,
Diaz-Cruz:2015uqx,article,{The texturized 2HDM (2HDM-TX) and Higgs signature at colliders},"{Diaz-Cruz, J. Lorenzo and Diaz, Enrique and Orduz-Ducuara, Javier A.}",2015,{J. Phys. Conf. Ser.},,,10.1088/1742-6596/651/1/012016,,,
Diaz-Cruz:2014aga,article,"{One-loop decays $A^0 \to ZZ, Z\gamma, \gamma\gamma$ within the 2HDM and its search at the LHC}","{Diaz-Cruz, J. L. and Honorato, C. G. and Orduz-Ducuara, J. A. and Perez, M. A.}",2014,{Phys. Rev. D},,,10.1103/PhysRevD.90.095019,,,
Lopez:2013hsa,article,{A calculation for $Br(Z'\to tth)$ in a B-L model},"{Hernandez Lopez, J. M. and Orduz-Ducuara, J. A.}",2013,{J. Phys. Conf. Ser.},,,10.1088/1742-6596/468/1/012012,,,
